NAME,POSITION,TEAM,SALARY
Kevin Seraphin, C,Indiana Pacers,"$1,800,000.00 "
Wade Baldwin IV, PG,Memphis Grizzlies,"$1,793,760.00 "
Quincy Acy, SF,Brooklyn Nets,"$1,790,092.00 "
Tyler Ennis, PG,Los Angeles Lakers,"$1,733,880.00 "
Sam Dekker, SF,Houston Rockets,"$1,720,560.00 "
Joffrey Lauvergne, C,Oklahoma City Thunder,"$1,709,719.00 "
Henry Ellenson, F,Detroit Pistons,"$1,704,120.00 "
Gary Harris, SG,Denver Nuggets,"$1,655,880.00 "
Jerian Grant, PG,Chicago Bulls,"$1,643,040.00 "
Malik Beasley, SG,Denver Nuggets,"$1,627,320.00 "
Bruno Caboclo, SF,Toronto Raptors,"$1,589,640.00 "
Delon Wright, PG,Toronto Raptors,"$1,577,280.00 "
Caris LeVert, SG,Brooklyn Nets,"$1,562,280.00 "
David Lee, PF,San Antonio Spurs,"$1,551,659.00 "
Caron Butler, SF,Sacramento Kings,"$1,551,659.00 "
Mitch McGary, PF,Oklahoma City Thunder,"$1,526,040.00 "
Justin Anderson, SG,Philadelphia 76ers,"$1,514,160.00 "
Marcelo Huertas, PG,Los Angeles Lakers,"$1,500,000.00 "
DeAndre' Bembry, SF,Atlanta Hawks,"$1,499,760.00 "
Jordan Adams, SG,Memphis Grizzlies,"$1,465,080.00 "
Bobby Portis, PF,Chicago Bulls,"$1,453,680.00 "
Demetrius Jackson, G,Boston Celtics,"$1,450,000.00 "
Malachi Richardson, SG,Sacramento Kings,"$1,439,800.00 "
Rodney Hood, SG,Utah Jazz,"$1,406,520.00 "
Marreese Speights, C,LA Clippers,"$1,403,611.00 "
Michael Beasley, SF,Milwaukee Bucks,"$1,403,611.00 "
JaVale McGee, C,Golden State Warriors,"$1,403,611.00 "
Rondae Hollis-Jefferson, SG,Brooklyn Nets,"$1,395,600.00 "
Deyonta Davis, F,Memphis Grizzlies,"$1,369,299.00 "
Nikola Jokic, C,Denver Nuggets,"$1,358,500.00 "
DeAndre Liggins, SG,LA Clippers,"$1,577,230.00 "
Archie Goodwin, SG,Brooklyn Nets,"$1,577,230.00 "
Ryan Kelly, PF,Atlanta Hawks,"$1,577,230.00 "
Troy Williams, SF,Houston Rockets,"$1,575,133.00 "
DeAndre' Bembry, SF,Atlanta Hawks,"$1,567,200.00 "
Caron Butler, SF,Sacramento Kings,"$1,551,659.00 "
Mitch McGary, PF,Oklahoma City Thunder,"$1,526,040.00 "
Sean Kilpatrick, SG,Brooklyn Nets,"$1,524,305.00 "
Johnny O'Bryant III, PF,Charlotte Hornets,"$1,524,305.00 "
Joffrey Lauvergne, C,San Antonio Spurs,"$1,524,305.00 "
Glenn Robinson III, SG,Indiana Pacers,"$1,524,305.00 "
Bobby Portis, PF,Chicago Bulls,"$1,516,320.00 "
Malachi Richardson, SG,Sacramento Kings,"$1,504,560.00 "
Marcelo Huertas, PG,Houston Rockets,"$1,500,000.00 "
Jarell Martin, PF,Memphis Grizzlies,"$1,471,382.00 "
Mario Chalmers, PG,Memphis Grizzlies,"$1,471,382.00 "
Briante Weber, PG,Charlotte Hornets,"$1,471,382.00 "
Tyus Jones, PG,Minnesota Timberwolves,"$1,471,382.00 "
Rakeem Christmas, PF,Indiana Pacers,"$1,471,382.00 "
Josh Richardson, SG,Miami Heat,"$1,471,382.00 "
Pat Connaughton, SG,Portland Trail Blazers,"$1,471,382.00 "
Jordan Mickey, PF,Boston Celtics,"$1,471,382.00 "
Caleb Swanigan, PF,Portland Trail Blazers,"$1,465,920.00 "
Furkan Korkmaz, SG,Philadelphia 76ers,"$1,465,920.00 "
Jordan Adams, SG,Memphis Grizzlies,"$1,465,080.00 "
Willy Hernangomez, C,New York Knicks,"$1,435,750.00 "
Kyle Kuzma, PF,Los Angeles Lakers,"$1,423,560.00 "
Tony Bradley, C,Utah Jazz,"$1,414,920.00 "
Derrick White, PG,San Antonio Spurs,"$1,404,600.00 "
Josh Hart, SG,Los Angeles Lakers,"$1,394,520.00 "
Timothe Luwawu-Cabarrot, SG,Philadelphia 76ers,"$1,386,600.00 "
Demetrius Jackson, G,Boston Celtics,"$1,384,750.00 "
Guillermo Hernangomez, C,New York Knicks,"$1,350,000.00 "
Sasha Kaun, C,Philadelphia 76ers,"$1,333,240.00 "
Brice Johnson, F,LA Clippers,"$1,331,160.00 "
Andrew Harrison, PG,Memphis Grizzlies,"$1,312,611.00 "
Wayne Selden, G,Memphis Grizzlies,"$1,312,611.00 "
Deyonta Davis, F,Memphis Grizzlies,"$1,312,611.00 "
Fred VanVleet, PG,Toronto Raptors,"$1,312,611.00 "
Treveon Graham, SG,Charlotte Hornets,"$1,312,611.00 "
Dejounte Murray, G,San Antonio Spurs,"$1,312,611.00 "
Bryn Forbes, SG,San Antonio Spurs,"$1,312,611.00 "
Jake Layman, F,Portland Trail Blazers,"$1,312,611.00 "
Chasson Randle, PG,New York Knicks,"$1,312,611.00 "
Marshall Plumlee, C,New York Knicks,"$1,312,611.00 "
Diamond Stone, C,Atlanta Hawks,"$1,312,611.00 "
Semi Ojeleye, PF,Boston Celtics,"$1,291,892.00 "
Jeremy Evans, SF,Indiana Pacers,"$1,227,286.00 "
CJ Wilcox, SG,Orlando Magic,"$1,209,600.00 "
Livio Jean-Charles, SF,San Antonio Spurs,"$1,188,840.00 "
Frank Mason III, PG,Sacramento Kings,"$1,184,385.00 "
Abdel Nader, SF,Boston Celtics,"$1,167,333.00 "
Tony Wroten, SG,Memphis Grizzlies,"$1,050,961.00 "
Chris Johnson, SF,Utah Jazz,"$1,050,961.00 "
John Jenkins, SG,Phoenix Suns,"$1,050,961.00 "
Andrew Goudelock, PG,Houston Rockets,"$1,015,696.00 "
Anthony Bennett, PF,Brooklyn Nets,"$1,015,696.00 "
Lorenzo Brown, PG,Detroit Pistons,"$1,015,696.00 "
Isaiah Canaan, PG,Chicago Bulls,"$1,015,696.00 "
JaKarr Sampson, SG,Memphis Grizzlies,"$980,431.00 "
Pablo Prigioni, PG,Houston Rockets,"$980,431.00 "
Marcus Thornton, SG,Brooklyn Nets,"$980,431.00 "
Devyn Marble, SF,LA Clippers,"$980,431.00 "
Henry Sims, C,Utah Jazz,"$980,431.00 "
John Lucas III, PG,Minnesota Timberwolves,"$980,431.00 "
Rasual Butler, SF,Minnesota Timberwolves,"$980,431.00 "
Jordan Farmar, PG,Sacramento Kings,"$980,431.00 "
Greg Stiemsma, C,Portland Trail Blazers,"$980,431.00 "
Lou Amundson, PF,New York Knicks,"$980,431.00 "
Robbie Hummel, SF,Denver Nuggets,"$980,431.00 "
Will Bynum, PG,Atlanta Hawks,"$980,431.00 "
Rade Zagorac, SG,Memphis Grizzlies,"$950,000.00 "
Ike Anigbogu, C,Indiana Pacers,"$950,000.00 "
Reggie Williams, SF,New Orleans Pelicans,"$895,197.00 "
D.J. Stephens, SG,Memphis Grizzlies,"$874,636.00 "
D.J. Kennedy, SG,Memphis Grizzlies,"$874,636.00 "
Cliff Alexander, PF,Orlando Magic,"$874,636.00 "
Nick Johnson, SG,Orlando Magic,"$874,636.00 "
Kevin Murphy, SG,Orlando Magic,"$874,636.00 "
Casper Ware, PG,Washington Wizards,"$874,636.00 "
J.J. O'Brien, SF,Milwaukee Bucks,"$874,636.00 "
Aaron Harrison, SG,Charlotte Hornets,"$874,636.00 "
Christian Wood, PF,Charlotte Hornets,"$874,636.00 "
